title,url
Identification_of_catalytic_sites_for_oxygen_reduc,https://www.science.org/doi/abs/10.1126/sciadv.1501122
Progress_in_NonmetalDoped_Graphene_Electrocatalyst,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201900060
NitrogenDoped_Graphene_with_Pyridinic_Dominance_as,https://pubs.acs.org/doi/abs/10.1021/acsami.5b02902
NitrogenDoped_Graphene_as_Efficient_MetalFree_Elec,https://pubs.acs.org/doi/abs/10.1021/nn901850u
Identifying_the_Active_Site_of_NDoped_Graphene_for,https://pubs.acs.org/doi/abs/10.1021/acsenergylett.8b00258
Cobalt_and_Nitrogen_Codoped_Graphene_with_Inserted,https://pubs.acs.org/doi/abs/10.1021/acssuschemeng.6b00451
NitrogenDoped_GrapheneCarbon_Nanotube_Hybrids_In_S,https://onlinelibrary.wiley.com/doi/abs/10.1002/smll.201303715
Simple_preparation_of_nanoporous_fewlayer_nitrogen,https://www.sciencedirect.com/science/article/pii/S0008622312008524
Synthesis_of_aminofunctionalized_graphene_as_metal,https://www.sciencedirect.com/science/article/pii/S2211285512001619
NitrogenDoped_Graphene_and_Its_IronBased_Composite,https://pubs.acs.org/doi/abs/10.1021/nn302674k
3D_Nitrogendoped_graphene_prepared_by_pyrolysis_of,https://www.sciencedirect.com/science/article/pii/S2211285512001760
Direct_Transformation_from_Graphitic_C3N4_to_Nitro,https://pubs.acs.org/doi/abs/10.1021/acsami.5b03845
NitrogenDoped_Carbon_Nanotube_Arrays_with_High_Ele,https://www.science.org/doi/abs/10.1126/science.1168049
3D_Carbon_Nanotube_Structures_Used_as_High_Perform,https://pubs.acs.org/doi/abs/10.1021/ja104425h
Vertically_Aligned_Carbon_Nanotube_Arrays_Codoped_,https://pubs.acs.org/doi/abs/10.1021/jz3011833
In_Search_of_the_Active_Site_in_NitrogenDoped_Carb,https://pubs.acs.org/doi/abs/10.1021/jz100971v
NitrogenDoped_Carbon_Nanotube_Arrays_for_HighEffic,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201506062
Formation_of_Active_Sites_for_Oxygen_Reduction_Rea,https://pubs.acs.org/doi/abs/10.1021/nn302906r
ThreeDimensional_NitrogenDoped_Carbon_NanotubesGra,https://pubs.acs.org/doi/abs/10.1021/jp207736h
Carbon_Nitrogen_Nanotubes_as_Efficient_Bifunctiona,https://pubs.acs.org/doi/abs/10.1021/acsami.5b02032
PlasmaEngraved_Co3O4_Nanosheets_with_Oxygen_Vacanc,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201600687
Metal_AtomDoped_Co3O4_Hierarchical_Nanoplates_for_,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.202002235
Oxygen_vacancybased_ultrathin_Co3O4_nanosheets_as_,https://www.sciencedirect.com/science/article/pii/S0360319920342749
